country,iso_code,start_year,end_year,population_start,co2_start,co2_end,gdp_per_capita_start,gdp_per_capita_end,energy_intensity_start,energy_intensity_end,carbon_intensity_start,carbon_intensity_end,co2_pct,gdp_per_capita_pct,energy_intensity_pct,carbon_intensity_pct,score_decarbonization,score_prosperity,score_efficiency,score_clean,kaya_score
United Arab Emirates,ARE,2000,2022,3493583.0,112.2768096923828,207.10340881347656,45950.157669647466,76127.22608765696,3.337566931582148e-09,1.7352122529335476e-09,0.2095569208490392,0.1530757022224423,0.8445786746248019,0.6567348176466229,-0.48009664270283753,-0.26952685884941446,0.0,68.79407433151117,97.1566632432625,81.36097983563064,56.97009619043796
Austria,AUT,2000,2022,8012929.0,66.20402526855469,61.454139709472656,34994.714544082446,43996.64490564364,1.4092596041466366e-09,9.573936096904652e-10,0.1675327211757799,0.160949146579087,-0.07174617464443075,0.25723685644646604,-0.320640706032154,-0.03929724623636497,72.64551455370257,32.47607785876964,74.37724371887916,48.471035176623566,56.9058813687349
Kazakhstan,KAZ,2000,2022,15501108.0,142.1969757080078,274.3455810546875,9209.54107274138,25138.19896332407,2.590027461272768e-09,1.6267421858536252e-09,0.3845787289773868,0.334860672202435,0.9293348518047121,1.7295821545037366,-0.3719208733585295,-0.12927926853145133,0.0,100.0,81.70298190836135,61.32560979020733,56.6719988292241
Jamaica,JAM,2000,2022,2607827.0,10.313989639282228,7.907610893249512,6688.12341539527,7051.132963386929,2.4819910694753256e-09,1.6697952409657431e-09,0.2382557663172015,0.2365564693902773,-0.2333121158923504,0.054276741837038164,-0.3272355966539697,-0.007132238405772041,86.10934299102918,14.02515834882165,75.3193709505671,43.87603405796744,55.371975189119446
El Salvador,SLV,2000,2022,5943363.0,5.647693157196045,7.912705898284912,5296.404455692846,9437.572061660592,8.387127975104192e-10,7.282153165722004e-10,0.2139165692813891,0.1833257362572096,0.4010509562126063,0.781882811369628,-0.13174650639195248,-0.14300356969515465,33.245753648949474,80.17116466996617,47.39235805599321,63.28622424216495,55.31654493391626
Turkey,TUR,2000,2022,65425957.0,232.9339599609375,443.6026916503906,11999.136569358856,27406.826716961907,1.0999737909389912e-09,8.252526391235382e-10,0.2697431298512224,0.2252876949045953,0.9044139880882195,1.2840665708354648,-0.24975245235701266,-0.1648065512220705,0.0,100.0,64.2503503367161,66.40093588886721,54.450304039560024
Japan,JPN,2000,2022,127027794.0,1260.2030029296875,1029.6448974609375,33139.612503433695,38196.69673349289,1.485472890180937e-09,1.0465550063094752e-09,0.2015253099386912,0.2060620343917381,-0.18295314717768046,0.15259937724181952,-0.2954735066339714,0.022511933882781658,81.9127622648067,22.96357974925632,70.78192951913877,39.641152302459766,54.38139759619879
Libya,LBY,2000,2022,5305020.0,53.23854064941406,58.974002838134766,9421.915579394612,12658.771049851295,4.2603355971405334e-09,2.467664139218455e-09,0.2500092614838996,0.2613467220899946,0.10773139381279842,0.343545369641771,-0.42078174759877834,0.045348162459273915,57.68905051560013,40.322306331070095,88.68310679982548,36.37883393438944,54.21862158101001
Costa Rica,CRI,2000,2022,3937737.0,5.367232799530029,8.010137557983398,9153.246615251348,15810.63153621459,8.071709143540882e-10,5.828510241280575e-10,0.1844858487841563,0.1710482756688146,0.4924147800491884,0.727324981047769,-0.27790878763952404,-0.07283796130652455,25.63210166256763,75.21136191343354,68.27268394850344,53.26256590093208,53.46264924206238
Yemen,YEM,2000,2022,19624139.0,15.831746101379396,10.403768539428713,3699.500526418,1592.0568641639177,8.28344058472854e-10,1.0395536365264284e-09,0.2632596805815949,0.1644605808390495,-0.34285400531263904,-0.5696562677055735,0.2549780805369246,-0.37529142147509187,95.23783377605324,0.0,0.0,96.47020306787026,52.68890089978353
